locationID,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,eventDate,samplingProtocol,recordedBy,preparations,preparedDate,materialSampleID,verbatimIdentification,dateIdentified,identifiedBy,scientificName,identificationQualifier,identificationRemarks,Kingdom,taxonRank,taxonConceptID
,Cowaramup Bay Road,-33.795,115.211,,,2019-09-24,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Calothamnus lateralis var. crassus,2019-09-24,Stream Environment and Water Pty Ltd,Calothamnus lateralis var. crassus,,,Plantae,subspecies,
,Cowaramup Bay Road,-33.859,115.01,,,2020-09-21,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Boronia anceps,2019-09-21,Stream Environment and Water Pty Ltd,Boronia anceps,,,Plantae,species,
,Cowaramup Bay Road,-33.859,115.01,,,2020-09-21,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Boronia anceps,2019-09-21,Stream Environment and Water Pty Ltd,Boronia anceps,,,Plantae,species,
,Cowaramup Bay Road,-33.859,115.01,,,2020-09-21,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Boronia anceps,2019-09-21,Stream Environment and Water Pty Ltd,Boronia anceps,,,Plantae,species,
,Cowaramup Bay Road,-33.857,114.994,,,2020-09-21,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,Banksia sessilis var. cordata,,,Plantae,subspecies,
,Cowaramup Bay Road,-33.857,114.993,,,2020-09-21,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,Banksia sessilis var. cordata,,,Plantae,subspecies,
,Cowaramup Bay Road,-33.856,114.993,,,2020-09-21,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,Banksia sessilis var. cordata,,,Plantae,subspecies,
,Cowaramup Bay Road,-33.857,114.988,,,2020-09-21,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,Banksia sessilis var. cordata,,,Plantae,subspecies,
,Cowaramup Bay Road,-33.858,115.016,,,2020-09-23,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Caladenia excelsa,2019-09-23,Stream Environment and Water Pty Ltd,Caladenia excelsa,,,Plantae,species,
,Cowaramup Bay Road,-33.858,115.016,,,2020-09-23,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Caladenia excelsa,2019-09-23,Stream Environment and Water Pty Ltd,Caladenia excelsa,,,Plantae,species,
,Cowaramup Bay Road,-33.858,115.016,,,2020-09-23,202201 CBR Flora and Vegetation report_draftv1.pdf,,,,,Caladenia ?excelsa,2019-09-23,Stream Environment and Water Pty Ltd,Caladenia excelsa,?,One unopened flower when recorded and one leaf only. ID not cofirmed,Plantae,species,
