recordID,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,dataGeneralizations,eventDate,samplingProtocol,basisOfRecord,recordedBy,recordNumber,occurrenceStatus,habitat,establishmentMeans,organismRemarks,individualCount,lifeStage,sex,reproductiveCondition,occurrenceID,ownerInstitutionCode,collectionCode,catalogNumber,institutionCode,otherCatalogNumbers,preparations,preparedDate,associatedSequences,sequencingMethod,verbatimIdentification,dateIdentified,identifiedBy,identificationMethod,scientificName,identificationQualifier,identificationRemarks,acceptedNameUsage,kingdom,taxonRank,threatStatus,conservationJurisdiction,threatStatusCheckProtocol,threatStatusDateDetermined,threatStatusDeterminedBy
,Cowaramup Bay Road,-33.8,115.21,WGS84,,,2019-09-24,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Calothamnus lateralis var. crassus,2019-09-24,Stream Environment and Water Pty Ltd,,Calothamnus lateralis var. crassus,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.01,WGS84,,,2020-09-21,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Boronia anceps,2019-09-21,Stream Environment and Water Pty Ltd,,Boronia anceps,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.01,WGS84,,,2020-09-21,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Boronia anceps,2019-09-21,Stream Environment and Water Pty Ltd,,Boronia anceps,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.01,WGS84,,,2020-09-21,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Boronia anceps,2019-09-21,Stream Environment and Water Pty Ltd,,Boronia anceps,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,114.99,WGS84,,,2020-09-21,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,,Banksia sessilis var. cordata,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,114.99,WGS84,,,2020-09-21,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,,Banksia sessilis var. cordata,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,114.99,WGS84,,,2020-09-21,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,,Banksia sessilis var. cordata,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,114.99,WGS84,,,2020-09-21,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Banksia sessilis var. cordata,2019-09-21,Stream Environment and Water Pty Ltd,,Banksia sessilis var. cordata,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.02,WGS84,,,2020-09-23,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Caladenia excelsa,2019-09-23,Stream Environment and Water Pty Ltd,,Caladenia excelsa,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.02,WGS84,,,2020-09-23,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Caladenia excelsa,2019-09-23,Stream Environment and Water Pty Ltd,,Caladenia excelsa,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.02,WGS84,,,2020-09-23,,,Stream Environment and Water Pty Ltd,,,,,,,,,,,,,,,,,,,,Caladenia ?excelsa,2019-09-23,Stream Environment and Water Pty Ltd,,Caladenia excelsa,?,One unopened flower when recorded and one leaf only. ID not confirmed,,Plantae,,,,,,
,,-33.8,115.21,WGS84,,,2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,Caladenia excelsa,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.02,WGS84,,,2020-09-23,,PreservedSpecimen,Stream Environment and Water Pty Ltd,,,,,,,,,,,WAM,,,,,,,,,,,Stream Environment and Water Pty Ltd,,Caladenia excelsa,,,,Plantae,,,,,,
,Cowaramup Bay Road,-33.86,115.02,WGS84,20,Coordinates rounded to the nearest 10 km for conservation concern,2020-09-23,,HumanObservation,Stream Environment and Water Pty Ltd,,,,,,,,,,,WAM,,,,,,,,,Caladenia ?excelsa,,Stream Environment and Water Pty Ltd,,Caladenia excelsa,?,Could not confirm the ID due to damaged flower,,Plantae,,,,,,
